Textos_espanol,sdg
"Dos encuestados seÃ±alaron que no existe un organismo dentro del Ministerio de Sanidad responsable de promover la introducciÃ³n de la asistencia sanitaria personalizada, y dos sugirieron que la investigaciÃ³n y el desarrollo se ven obstaculizados por la normativa de protecciÃ³n de datos personales y los procedimientos Ã©ticos. Curiosamente, uno de los encuestados comentÃ³ que ""la satisfacciÃ³n de los consumidores con [el] sistema sanitario actual significa que hay poca demanda de cambio por parte de los pacientes o de los profesionales sanitarios"". Los encuestados también consideraron importantes las redes y la colaboración internacionales, en particular a través de la Unión Europea.",3
"Esto proporciona tiempo adicional para que los médicos dediquen a esos pacientes médicamente complejos con múltiples condiciones crónicas. Algunos países de la OCDE han adoptado la expansión de la fuerza laboral para incluir a este personal. Los médicos, enfermeras y otros profesionales de la salud deben ingresar a un entorno que promueva las habilidades que aprenden en la capacitación clínica. Actualizar el currículo educativo no será muy efectivo a menos que: 1) la infraestructura de investigación cree la base de evidencia para guiar la educación y la atención al paciente, 2) los sistemas de pago y entrega les ayuden a administrar los tipos de atención para los que están capacitados para brindar, y 3) las métricas de calidad miden lo que están siendo capacitados para proporcionar.",3
"El número absoluto de médicos ha seguido creciendo en la mayoría de los países de la OCDE durante la recesión de 2008-09 y posteriormente, aunque la tasa de crecimiento se ha desacelerado en países como Grecia. Este resultado puede explicarse, en parte, por la política de reducción del número de personal temporal y personal de reemplazo, aunque cabe señalar que Grecia sigue teniendo el mayor número de médicos per cápita entre los países de la OCDE. En Irlanda, se han introducido una serie de cambios que afectan a la fuerza laboral médica, incluida la no sustitución del personal con licencia, la finalización de los contratos temporales y los despidos voluntarios, así como la reducción del personal de agencia y suplente.",3
"El desarrollo de una política de recertificación (que incluiría INFARMED, la autoridad nacional de medicamentos y productos sanitarios, garantiza la seguridad y el uso apropiado de los productos farmacéuticos en Portugal. Suecia no tiene un sistema de acreditación para las organizaciones sanitarias. Para algunas profesiones, la el diploma debe complementarse con un certificado de finalización de una pasantía/experiencia práctica específica No existen sistemas nacionales formales de CME y CPD o para la recertificación.",3
"Patient Opinion, un portal en línea, permite a la gente publicar de forma anónima sus experiencias sobre los servicios del NHS. Las personas que deseen dar su opinión sobre un servicio pueden dejar un comentario y esperar una respuesta de un miembro del personal del NHS, a menudo de la institución en cuestión. En un ejemplo reciente, un paciente escribió en el foro en línea sobre una experiencia negativa con un servicio de reumatología.",3
"Estas estaciones cuentan con asistentes médicos y parteras y reportan a los hospitales locales. Estos últimos están equipados con unidades de laboratorio clínico y radiología y cuentan con uno o más médicos, un cirujano y un ginecólogo. Cuanto más cerca de los centros administrativos, más especializado es el nivel de las instalaciones y el personal. El sistema incluye dispensarios médicos especializados para ciertas enfermedades, como tuberculosis, cáncer, infecciones de transmisión sexual, trastornos psiquiátricos y enfermedades de la piel.",3
"En Ohio, las admisiones a tratamiento por esta droga aumentaron un 34% de 2009 a 2012. En el condado de San Diego, las muertes relacionadas con la metanfetamina aumentaron un 70% de 2008 a 2012. América del Sur cuenta con una capacidad institucional relativamente sólida en el contexto más amplio de América Latina y el Caribe, y los países de la región han venido realizando esfuerzos considerables a escala nacional e internacional para frenar la oferta ilícita de drogas y hacer frente a las crecientes tasas de drogodependencia.",3
"Los profesionales de la salud y los responsables políticos también se benefician de ello, como muestra la figura siguiente. Otra prioridad declarada es el intercambio eficaz de información y la cooperación entre todos los compradores y profesionales. Se pretende que la información siga al ciudadano a través de los sectores sanitario y de asistencia social.",3
"Por el contrario, las enfermedades infecciosas plantean amenazas potencialmente globales, por lo que los beneficios de la genómica para el control de las enfermedades infecciosas pueden percibirse tanto a escala mundial como local. Entretanto, los países más ricos parecen más inclinados a invertir en líneas de investigación y desarrollo genómico que les orientan principalmente hacia asuntos internos, y que ofrecen menos incentivos para colaborar internacionalmente en la investigación y la aplicación. Por otra parte, los resultados sólo representan una instantánea de un campo en rápido desarrollo, a fecha de verano de 2012.",3
"En Noruega, una revisión de los servicios comunitarios de salud mental reveló que, en general, los médicos de familia son considerados como socios competentes, implicados y accesibles por los trabajadores comunitarios de salud mental (Slettebak et al., Esta es una buena base sobre la que Noruega debería construir. Sin embargo, dado que es probable que los médicos de cabecera sigan estando a la vanguardia del diagnóstico y el tratamiento de los trastornos leves a moderados, existe una necesidad continua de garantizar una atención de alta calidad para los trastornos mentales. La disponibilidad de formación en TCC y los reembolsos a los médicos de cabecera que imparten TCC constituyen un avance interesante. ",3
"La consolidación prevista en el sector municipal ofrecerá oportunidades para una mejor coordinación entre los municipios más grandes y el Seguro Nacional de Salud. Es preocupante que el aumento de los insumos no se refleje en un aumento del volumen de servicios sanitarios producidos. Sin embargo, se han observado tendencias similares en otros países y, en cierta medida, pueden reflejar dificultades a la hora de medir los insumos y los productos y de ajustar las mejoras de la calidad de la asistencia sanitaria (Hardie et al., ",3
"Hay datos que indican que la ubicación conjunta en centros sanitarios multidisciplinares facilita la colaboración y la integración, y garantiza un uso más eficiente de los recursos y las competencias (Reed et al., Los equipos multidisciplinares de las consultas, con infraestructuras clínicas, informáticas y otras infraestructuras de apoyo, son capaces de ofrecer una gama más amplia de servicios para satisfacer las necesidades de atención crónica de forma coordinada (Goodwin et al., Varios estudios nacionales sobre la influencia del tamaño de la consulta en los procesos asistenciales y los resultados muestran que las consultas más grandes obtienen mejores resultados en cuanto a la gama y la calidad de los servicios y la gestión de la seguridad (Wensing et al.,",3
"Hoy en día, prácticamente todos los hospitales de atención secundaria y la mayoría de los servicios de atención de día de los hospitales se financian en su totalidad con los GRD. La expectativa es que esto estimule la productividad hospitalaria, ya que al aumentar el número de episodios de atención se reparten los costos fijos entre un mayor número de pacientes y se fomenta el desarrollo de procedimientos de estancia diurna en lugar de las admisiones de pacientes hospitalizados. Esto tiene por objeto apoyar la atención terciaria altamente especializada, independientemente de la propiedad del proveedor, pero también puede estar distorsionando la distribución de los recursos.",5
Los resultados de los modelos de costos de atención de la salud se utilizan para pronosticar los gastos de salud futuros en función de las características y el estado de salud de la futura población anciana proyectada de los otros dos componentes del modelo FEM. Los gastos per cápita también se calculan para cada una de estas cuatro categorías de pago. Todos los gastos proyectados son en términos reales que corresponden a dólares de 1998.,3
"El papel de los seguros sanitarios privados es insignificante. La atención primaria se financia en gran parte mediante capitación, con ajustes por edad y ubicación rural, más una parte menor de pago por servicio y pagos relacionados con el rendimiento para áreas de atención prioritarias específicas, en particular las enfermedades crónicas. La atención ambulatoria se financia mediante el pago por caso y el pago por servicio para pruebas diagnósticas, mientras que la atención hospitalaria se financia en gran medida mediante el pago por caso (DRG).",3
"El sesgo hacia la medicina y la intervención occidentales puede resultar ofensivo o inapropiado para los practicantes de la medicina tradicional. Es difícil encontrar personal sanitario que hable y entienda las lenguas indígenas, y la mala comunicación entre proveedores y clientes a todos los niveles compromete el acceso a una atención de calidad. Así pues, como los sistemas sanitarios estatales no incorporan el concepto indígena de salud ni trabajan en armonía con los sistemas sanitarios tradicionales, las comunidades indígenas quedan marginadas y persisten las disparidades sanitarias entre las poblaciones indígenas y no indígenas. Sin embargo, hay pocos esfuerzos que aborden el VIH/SIDA entre los pueblos indígenas. Sin embargo, los tratamientos tradicionales contra el VIH están muy extendidos en las comunidades indígenas y, si se reconocen y apoyan, son prácticas prometedoras para combatir la enfermedad entre todas las poblaciones.",3
"También promueve mejoras en la prevención, el diagnóstico, el tratamiento y la rehabilitación de enfermedades específicas. La construcciÃ³n y renovaciÃ³n representan alrededor del 30% del presupuesto total. Al mismo tiempo, los gobiernos regionales deben desarrollar programas regionales dirigidos a alcanzar los objetivos del ""concepto demográfico"" (plan de acción) antes mencionado y deben transmitir información sobre fertilidad, morbilidad, etc. También cofinancian con cargo a los presupuestos regionales una serie de programas federales específicos. Inicialmente, este programa cubría a 15,9 millones de empleados del sector público y a 10,9 millones de personas que trabajan en empleos con condiciones laborales nocivas o peligrosas (Sheiman y Shishkin, 2010).",3
"Bélgica implementó servicios integrales para dejar de fumar y también se implementaron políticas libres de humo (OMS, 2015). Como en muchos otros países, se lanzaron campañas en los medios de comunicación para promover el objetivo de '5 al día' para el consumo de frutas y verduras. Bélgica impuso un impuesto sobre las bebidas azucaradas en 2016, como es el caso de Francia y Finlandia, pero abandonó el impuesto sobre el azúcar en los productos alimenticios.",3
"El consumo de tabaco, que es en parte responsable de la tasa de mortalidad por cáncer de pulmón más alta del mundo entre los hombres húngaros, ha disminuido notablemente desde mediados de la década de 1990, pero se mantiene en un nivel alto, superando el promedio de la OCDE. Recientemente, el gobierno ha tomado medidas para reducir el consumo de tabaco y alcohol aumentando los impuestos especiales en noviembre de 2011 e introduciendo una prohibición de fumar en lugares públicos, a partir del 1 de enero de 2012. Alrededor de dos tercios de los hombres húngaros y la mitad de las mujeres tienen sobrepeso o son obesos. (Figura 4.2). La hipertensión arterial afecta a cerca del 30% de las personas de 25 a 64 años y la diabetes tipo dos afecta aproximadamente al 10% de la población (HCSO, 2009).",3
"A partir de 2012, algunos servicios hospitalarios están sujetos a un descuento directo del 80 %, lo que desalienta fuertemente la provisión más allá de los límites de gasto. En principio, este proceso de negociación agrega un elemento útil basado en el mercado al sistema de atención de la salud. Sin embargo, esto se ve algo comprometido por el número limitado de ""actores del mercado"" en ambos lados, especialmente porque la integración vertical de Clalit significa que realmente no participa en este proceso.",3
"La falta de programas completos de acreditación para la atención primaria es una de las principales deficiencias de la República Checa, Italia, Japón, Corea, Noruega y Suecia. Noruega, por ejemplo, sólo realiza auditorías planificadas y basadas en el riesgo en atención primaria. En cambio, Australia, Inglaterra y Portugal siguen otro camino ampliando la acreditaciÃ³n al sector de la atenciÃ³n primaria y comunitaria. En particular, el planteamiento de Inglaterra sobre la acreditaciÃ³n de los servicios sanitarios estÃ¡ a la vanguardia de los esfuerzos de la OCDE, y es un modelo a imitar por otros sistemas sanitarios (vÃ©ase el estudio de caso 11). Es inusualmente amplio, ya que acredita a todos los proveedores de atención primaria y social (OCDE, 2016a).",3
"Junto con los desafíos del acceso a las tecnologías de la salud para hacer frente a la carga de las enfermedades transmisibles, los países de ingresos bajos y medianos también se enfrentan cada vez más a la creciente carga de las enfermedades no transmisibles. Sin embargo, los tratamientos patentados más nuevos a menudo tienen etiquetas de precios que no son asequibles para la gran mayoría de los pacientes en países de ingresos bajos y medios. Echando un vistazo más de cerca al creciente interés en los nichos de mercado y la medicina personalizada”, World Medical and Health Policy, vol.",3
"Los estilos de vida ayudan a explicar las variaciones en ECV y diabetes en los países de la OCDE. El Capítulo 2 analiza la promoción de la salud y la contribución de la salud pública para mantener estilos de vida saludables en los países de la OCDE. Examina las tendencias recientes en la obesidad, el consumo de tabaco y alcohol y el ejercicio físico. Este capítulo describe las políticas que los sistemas de salud han introducido recientemente para combatir los estilos de vida poco saludables, como el consumo de tabaco y el alto consumo de sal, y para promover la actividad física en adultos y niños a fin de reducir el sobrepeso y la obesidad.",3
"En un intento por volverse más autosuficiente, Australia también se ha esforzado por aumentar la cantidad de médicos capacitados localmente y ha brindado incentivos para que los médicos se trasladen a áreas de necesidad. Otras palancas políticas con las que Australia ha experimentado incluyen la delegación de tareas entre los profesionales de la salud y el uso de tecnología para facilitar el acceso a los servicios de salud para las personas en las partes más remotas del país. Hay en promedio tres australianos por cada kilómetro cuadrado de tierra, una densidad similar a la de Islandia y Canadá (OCDE, 2009). Como resultado, la concentración espacial de la población en Australia es la más alta de la OCDE: casi dos tercios de la población vive en el 10% de las regiones con mayor población.",3
"Para garantizar que el aumento de los recursos no se desperdicie sino que se traduzca en mejores resultados de salud, al mismo tiempo se debe priorizar una mayor eficiencia del sistema de salud. Sin eliminar este tope, o realizar una revisión del gasto y la eficiencia del sector de la salud, será difícil aumentar sustancialmente los recursos del sistema de salud en un corto período de tiempo. Muchos otros países de la OCDE, como Francia o el Reino Unido, realizan revisiones periódicas del gasto que permiten un enfoque más receptivo al desarrollo de los servicios públicos, al mismo tiempo que controlan el gasto.",3
"También consideramos cómo se puede desarrollar aún más el sector de atención primaria calificada de Suecia para mejorar la calidad y la coordinación de la atención para la población sueca. El uso de dichos datos por parte de la OCDE es sin perjuicio del estado de los Altos del Golán, Jerusalén Este y los asentamientos israelíes en Cisjordania según los términos del derecho internacional. Estas presiones del lado de la demanda, sumadas a las limitaciones financieras sin precedentes que enfrentan la mayoría de los países, son desafíos importantes para el sistema de salud sueco para brindar atención de alta calidad y satisfacer las crecientes expectativas de los pacientes. La necesidad concomitante de servicios que estén bien coordinados, tanto dentro como entre la atención sanitaria y social, y que cubran todo el espectro de servicios, desde la prevención y el diagnóstico precoz hasta el tratamiento de enfermedades establecidas, la prestación de atención sanitaria y social a largo plazo, y servicios para cuidados paliativos, es un desafío adicional para el sector de atención primaria sueco.",3
"Sin embargo, el establecimiento de un sistema formal de evaluación de las tecnologías sanitarias ayudaría a determinar qué productos farmacéuticos deberían estar cubiertos. Varios de estos retos han estado presentes desde la misma creación del sistema a principios de los años noventa. Sin embargo, no existe una visión política global que los partidos políticos de todo el espectro (y las diferentes partes interesadas del sistema sanitario) puedan suscribir. ",3
"La responsabilidad general del sector sanitario recae a nivel nacional en el Ministerio de Sanidad y Servicios Asistenciales, que determina la política sanitaria nacional, prepara la legislación y asigna los fondos. El Ministerio de Sanidad y Servicios Asistenciales posee cuatro Autoridades Sanitarias Regionales que son responsables de la prestación de asistencia sanitaria especializada somática y mental. Los 19 condados noruegos son responsables de la prestación de los servicios de salud dental obligatorios, mientras que los 428 municipios son responsables de la atención primaria somática y mental, así como de los cuidados de enfermería.",3
"En las instituciones de atención a largo plazo u otros servicios que brindan alojamiento o tratamiento a las personas mayores, es relativamente común encontrar condiciones de vida deplorables o hacinamiento, o tratamientos que pueden dañar la salud física o mental o violar otros derechos humanos básicos y libertades fundamentales con frecuencia. consecuencias irrevocables (Vásquez, 2004). Todos los residentes de instituciones tienen derechos y libertades protegidos en convenios internacionales y leyes nacionales, independientemente de que sufran discapacidades físicas o mentales. Investigaciones recientes realizadas por el Banco Interamericano de Desarrollo (BID) y la Organización Panamericana de la Salud (OPS) sobre la exclusión social de las personas mayores institucionalizadas con discapacidad física y mental en tres países del Cono Sur (Argentina, Chile y Uruguay) muestran una situación heterogénea en cuanto a estos servicios. Argentina tiene la mayor proporción de internaciones decididas por otra persona distinta de la propia persona mayor (12%), mientras que Chile tiene el mayor porcentaje de mayores ingresadas por no tener dónde vivir (12%). Las personas mayores institucionalizadas en Uruguay tienen un nivel más bajo de capacidades funcionales y mentales (45%), mientras que en Argentina el 65% de los residentes no presenta degeneración cognitiva ni fisiológica.",3
"El objetivo HEAT “Proporcionar un acceso más rápido a los servicios de salud mental mediante la entrega de 18 semanas de derivación a tratamiento para terapias psicológicas a partir de diciembre de 2014” fue aprobado por el gobierno escocés en noviembre de 2010 y actualmente se está implementando en las juntas de salud. El objetivo es brindar terapias psicológicas basadas en la evidencia a tiempo8 para tratar de manera eficiente y eficaz los trastornos mentales. Por ejemplo, la “Matriz” de Terapias Psicológicas ha sido desarrollada como una guía para ayudar a las Juntas de Salud a brindar terapias psicológicas eficientes y efectivas. Para lograr este objetivo, Matrix resume los consejos más actualizados sobre intervenciones basadas en evidencia, brinda la capacitación necesaria para brindar terapias seguras y efectivas e identifica las brechas clave en los servicios de salud mental. El Diagrama de Impulsores ha sido desarrollado para apoyar la implementación de la meta en todas las actividades de la Junta de Salud. Es un método concebido para identificar las partes del sistema de prestación de servicios de salud mental que deben mejorarse y luego hacer recomendaciones para cambios específicos.",3
"Véase el recuadro 1 anterior. Encontrar una forma nueva, más eficiente o menos invasiva de administrar un fármaco conocido también es un caso de uso nuevo. Es importante enfatizar que un nuevo uso por definición resulta de la misma entidad química, es decir, una sustancia preexistente conocida. El nuevo fármaco prescrito para el nuevo uso, por lo tanto, no modifica la estructura química del producto existente (como sería el caso de los derivados, que se analizan más adelante en esta Guía). Esto es particularmente cierto en países donde existe conocimiento de las medicinas tradicionales, y se pueden encontrar nuevas indicaciones a través de investigaciones específicas.",3
"Para movilizarlos, es necesario colocar la adherencia a la medicación en la agenda política nacional, comenzando con la observación rutinaria de la adherencia y continuando hacia el desarrollo de indicadores de desempeño y calidad de la adherencia. Dichos indicadores podrían ayudar a mejorar la eficiencia del sistema de salud al establecer e influir en la relación entre el gasto en productos farmacéuticos y las ganancias en los resultados de salud. Mejorar la forma en que los pacientes toman sus medicamentos requiere que los profesionales de la salud estén equipados con habilidades específicas para brindar atención en un modelo centrado en la persona en lugar de centrado en la enfermedad, es decir, que los proveedores deben buscar y comprender las necesidades, perspectivas y necesidades individuales de los pacientes. valores, transmitir a los pacientes la información que necesitan para participar en su atención y generar confianza y comprensión. Costos evitables en el cuidado de la salud de los EE. UU.: la oportunidad de $ 200 mil millones del uso de medicamentos de manera más responsable.",3
"En respuesta, el Director General presentó un informe ""Reforma del trabajo de la OMS en la gestión de emergencias sanitarias: Programa de Emergencias Sanitarias de la OMS"". /70/723) al Secretario General. Estos incluyen, entre otros, (a) una revisión The Neglected Dimension of Global Security: A Framework to Counter Infectious Disease Crises de la Academia Nacional de Medicina (NAM),2 (b) una iniciativa conjunta de la Universidad de Harvard y la London School of Hygiene and Tropical Medicine (Moon y otros, 2015), (c) una revisión de un panel independiente creado por la Fundación Bill y Melinda Gates y (d) una revisión de MSF (2015).",3
"Los objetivos de calidad y rendimiento se definen en el contrato del hospital. Casi el 5% del presupuesto hospitalario total se asigna al hospital de acuerdo con sus niveles de desempeño. Estos indicadores se relacionan con el acceso, el desempeño clínico y el desempeño económico. La Seguridad del Paciente es una de las siete prioridades estratégicas de la Estrategia Nacional para la Calidad de la Salud en Portugal, que define el desarrollo de las siguientes acciones específicas: elaboración de directrices en el campo de la seguridad del paciente, concretamente en seguridad quirúrgica y de los medicamentos, creación de la sistema nacional de notificación de incidentes y eventos adversos y la coordinación de la prevención y control de las infecciones asociadas a la atención de la salud.",3
"La prevención de enfermedades crónicas debe verse como un medio para mejorar el bienestar social en general. La prevención de enfermedades crónicas puede mejorar las perspectivas de empleo, los salarios y la productividad laboral, y disminuir las licencias por enfermedad, las solicitudes de beneficios por discapacidad y la salida anticipada de la fuerza laboral. Deberían considerar invertir más en políticas de prevención dirigidas a las enfermedades crónicas y los factores de riesgo asociados, a fin de que la fuerza laboral sea más saludable y productiva, lo que puede conducir a ganancias potencialmente sustanciales en la producción económica.",3
"Identificar indicadores de rendimiento y resultados de la atención a la salud mental. Determinar a qué niveles (nacional/regional, local o individual) se dispone de datos en los nueve países europeos. Desarrollar una estrategia para la recogida de información sobre indicadores de rendimiento y resultados de la calidad de la atención a la salud mental.",3
"Dado el aumento de enfermedades crónicas como la diabetes, un enfoque que haga hincapié en la prevención para abordar los cambiantes factores de riesgo para la salud será clave para ayudar a reducir los ingresos hospitalarios relativamente más caros en el futuro. Lo ideal sería que los pacientes contaran con un asesor de confianza que les ayudara a navegar por el complejo número de servicios disponibles. El objetivo del gatekeeping es reforzar la relaciÃ³n entre los proveedores de atenciÃ³n primaria y los pacientes, mejorando asÃ la capacidad de estos Ãºltimos para seleccionar la forma de atenciÃ³n mÃ¡s adecuada.",3
"Sin embargo, su sistema se verá presionado a medida que se acelere el envejecimiento de la población después de mediados de la década de 2020, con un fuerte aumento en la proporción de personas mayores de 80 años, los mayores receptores de atención médica y de atención a largo plazo per cápita (Paneles C y D , Albouy et al., La evolución de los precios y el progreso técnico también podrían conducir a una mayor presión al alza sobre el gasto en salud (Fall et al., Las simulaciones macro y micro muestran aumentos significativos en los gastos de salud pública hasta 2060, aunque la escala del gasto adicional varía ampliamente (Cuadro 1).",3
"Clasificación de las funciones de atención de la salud (cont.) Un conjunto similar de servicios y bienes puede consumirse con un propósito no relacionado con la salud. Este es el caso cuando la atención de la salud está interrelacionada con el bienestar o con la atención social, como los servicios médicos con un fin cosmético no sanitario o el apoyo social como parte de la atención a largo plazo.",3
"Esto iba en contra de los objetivos de la política sanitaria, la eficiencia del sistema sanitario y la equidad. Su objetivo es que EOPYY pueda adquirir todos los servicios sanitarios necesarios para satisfacer las necesidades de la población. Otras medidas en el ámbito del diagnóstico han consistido en reducir los precios pagados por el sistema sanitario público y frenar la prescripción excesiva de diagnósticos especializados. En 2013 se pusieron en marcha reformas estructurales para reducir el número de camas, clínicas y unidades especializadas, pero su aplicación ha sido limitada.",3
"Por ejemplo, en Australia, se dispuso de financiación separada para Herceptin, y en Francia existe un arreglo similar. En Alemania, los medicamentos contra el cáncer se pagan sobre la base de DRG o mediante ""pagos adicionales específicos"" (Zusatzentgelte). En los Países Bajos, las unidades de farmacia de los hospitales eran anteriormente responsables de las compras farmacéuticas, y los hospitales con una unidad de farmacia que lograba comprar medicamentos innovadores a precios más bajos podían usar estos medicamentos más que otros hospitales, lo que generaba variaciones entre hospitales en el disponibilidad de productos farmacéuticos caros. Pero debido a la presión de los grupos de pacientes, en 2002/03 el Ministerio de Salud pasó a ser responsable del 80% de los costos relacionados con la compra de productos farmacéuticos costosos a las compañías de seguros, y el resto lo pagaron los hospitales y la farmacia.",3
